customer_id,plan_tier,tenure_months,orders,order_value,revenue,converted
76,Basic,17,1,113.99,113.99,1
77,Basic,46,1,100.04,100.04,1
78,Standard,7,0,106.49,0.0,0
79,Standard,8,0,114.12,0.0,0
80,Standard,16,0,189.94,0.0,0
81,Standard,1,2,83.91,167.82,1
82,Basic,42,2,54.78,109.56,1
83,Standard,16,1,88.97,88.97,1
84,Basic,5,2,95.7,191.4,1
85,Basic,30,0,111.32,0.0,0
86,Basic,46,0,87.84,0.0,0
87,Standard,47,1,105.9,105.9,1
88,Basic,6,1,76.23,76.23,1
89,Basic,38,1,57.51,57.51,1
90,Standard,18,1,159.98,159.98,1
91,Basic,40,2,86.2,172.41,1
92,Standard,29,2,125.56,251.13,1
93,Basic,35,3,105.99,317.98,1
94,Basic,40,0,116.0,0.0,0
95,Basic,43,3,85.76,257.29,1
96,Standard,7,1,97.2,97.2,1
97,Basic,35,1,89.59,89.59,1
98,Basic,7,2,87.53,175.06,1
99,Basic,45,1,79.54,79.54,1
100,Premium,30,2,141.51,283.02,1
101,Premium,10,1,207.56,207.56,1
102,Standard,14,0,153.13,0.0,0
103,Basic,43,1,122.85,122.85,1
104,Premium,31,4,161.74,646.97,1
105,Standard,11,1,163.97,163.97,1
106,Standard,39,1,92.48,92.48,1
107,Basic,34,2,92.8,185.6,1
108,Basic,4,2,109.6,219.21,1
109,Basic,14,3,100.36,301.08,1
110,Premium,40,0,248.48,0.0,0
111,Basic,17,0,70.79,0.0,0
112,Basic,2,1,86.58,86.58,1
113,Basic,29,1,86.19,86.19,1
114,Standard,43,1,148.48,148.48,1
115,Basic,27,1,85.66,85.66,1
116,Premium,46,2,201.35,402.7,1
117,Standard,6,1,113.54,113.54,1
118,Standard,32,2,129.05,258.1,1
119,Basic,31,2,75.92,151.83,1
120,Standard,47,2,92.01,184.03,1
121,Standard,25,1,107.53,107.53,1
122,Standard,39,0,97.04,0.0,0
123,Basic,7,3,86.2,258.59,1
124,Basic,3,1,104.66,104.66,1
125,Basic,34,1,64.92,64.92,1
126,Basic,1,1,82.24,82.24,1
127,Basic,42,1,130.69,130.69,1
128,Basic,1,1,56.35,56.35,1
129,Basic,33,2,69.06,138.11,1
130,Standard,22,0,127.55,0.0,0
131,Basic,31,0,59.93,0.0,0
132,Premium,30,0,186.76,0.0,0
133,Standard,21,1,161.83,161.83,1
134,Basic,23,0,78.27,0.0,0
135,Standard,24,0,97.61,0.0,0
136,Basic,32,2,59.47,118.94,1
137,Premium,34,1,156.76,156.76,1
138,Basic,22,1,85.49,85.49,1
139,Standard,17,1,173.37,173.37,1
140,Basic,3,3,86.5,259.5,1
141,Basic,37,1,87.39,87.39,1
142,Basic,11,2,89.09,178.17,1
143,Premium,21,0,157.09,0.0,0
144,Standard,47,0,60.99,0.0,0
145,Basic,37,2,117.06,234.11,1
146,Basic,17,0,101.32,0.0,0
147,Basic,23,1,110.82,110.82,1
148,Standard,16,1,125.87,125.87,1
149,Basic,30,3,111.73,335.18,1
150,Basic,8,0,61.06,0.0,0
151,Standard,45,0,121.27,0.0,0
152,Premium,47,0,212.64,0.0,0
153,Basic,15,2,114.72,229.44,1
154,Standard,11,1,130.4,130.4,1
155,Basic,26,0,97.82,0.0,0
156,Standard,31,1,125.65,125.65,1
157,Basic,31,3,62.28,186.85,1
158,Standard,2,3,105.16,315.48,1
159,Standard,34,1,107.38,107.38,1
160,Standard,4,1,140.83,140.83,1
161,Basic,17,2,99.63,199.27,1
162,Premium,34,1,252.24,252.24,1
163,Basic,42,1,99.15,99.15,1
164,Basic,30,0,86.0,0.0,0
165,Standard,8,1,152.06,152.06,1
166,Basic,32,0,66.67,0.0,0
167,Standard,2,0,112.73,0.0,0
168,Standard,11,0,96.32,0.0,0
169,Basic,6,1,68.98,68.98,1
170,Premium,47,0,148.53,0.0,0
171,Basic,18,1,77.6,77.6,1
172,Standard,27,1,124.76,124.76,1
173,Basic,38,3,83.43,250.28,1
174,Premium,46,1,202.39,202.39,1
175,Basic,47,2,94.15,188.29,1
176,Basic,8,0,46.19,0.0,0
177,Basic,19,2,92.9,185.8,1
178,Premium,20,1,162.0,162.0,1
179,Premium,38,6,126.3,757.78,1
180,Standard,16,1,125.66,125.66,1
181,Premium,11,0,194.55,0.0,0
182,Premium,36,1,197.89,197.89,1
183,Standard,24,1,137.34,137.34,1
184,Basic,36,0,77.22,0.0,0
185,Standard,18,0,95.19,0.0,0
186,Standard,23,0,118.98,0.0,0
187,Basic,1,0,81.33,0.0,0
188,Basic,1,1,140.6,140.6,1
189,Standard,1,2,116.01,232.03,1
190,Basic,9,1,89.41,89.41,1
191,Premium,17,0,155.39,0.0,0
192,Basic,3,2,69.69,139.37,1
193,Basic,8,1,57.79,57.79,1
194,Standard,40,0,110.25,0.0,0
195,Basic,41,0,84.87,0.0,0
196,Basic,14,1,109.25,109.25,1
197,Standard,45,1,111.88,111.88,1
198,Premium,6,0,172.67,0.0,0
199,Basic,2,0,92.9,0.0,0
200,Basic,17,2,86.37,172.74,1
201,Standard,13,0,141.65,0.0,0
202,Premium,4,0,245.68,0.0,0
203,Standard,40,0,116.64,0.0,0
204,Basic,47,3,69.93,209.78,1
205,Basic,13,2,85.4,170.79,1
206,Basic,15,1,92.08,92.08,1
207,Basic,34,2,62.8,125.61,1
208,Standard,44,3,110.18,330.53,1
209,Basic,14,0,60.0,0.0,0
210,Standard,33,3,127.91,383.72,1
211,Standard,2,2,89.77,179.55,1
212,Standard,27,0,109.35,0.0,0
213,Basic,47,0,85.22,0.0,0
214,Standard,23,1,85.29,85.29,1
215,Standard,31,1,118.6,118.6,1
216,Standard,33,2,90.53,181.06,1
217,Basic,30,0,116.04,0.0,0
218,Basic,33,2,113.2,226.4,1
219,Premium,42,1,235.33,235.33,1
220,Basic,1,3,91.05,273.14,1
221,Basic,42,0,94.66,0.0,0
222,Basic,43,0,84.99,0.0,0
223,Standard,43,2,131.16,262.32,1
224,Premium,18,2,253.9,507.8,1
225,Basic,28,0,69.95,0.0,0
226,Premium,17,2,206.03,412.05,1
227,Basic,40,0,56.21,0.0,0
228,Standard,20,0,107.45,0.0,0
229,Standard,15,1,116.2,116.2,1
230,Basic,33,0,94.28,0.0,0
231,Basic,3,2,101.01,202.02,1
232,Basic,18,1,112.88,112.88,1
233,Premium,10,3,132.39,397.17,1
234,Standard,18,1,139.51,139.51,1
235,Premium,22,2,260.58,521.17,1
236,Standard,3,1,108.43,108.43,1
237,Basic,41,1,78.98,78.98,1
238,Standard,20,1,122.99,122.99,1
239,Basic,17,0,87.17,0.0,0
240,Basic,8,0,85.91,0.0,0
241,Standard,47,2,155.87,311.75,1
242,Standard,41,2,179.42,358.84,1
243,Basic,23,2,83.9,167.8,1
244,Standard,16,1,177.81,177.81,1
245,Standard,22,1,111.11,111.11,1
246,Premium,46,3,222.27,666.8,1
247,Standard,11,3,93.85,281.55,1
248,Basic,33,0,73.44,0.0,0
249,Basic,43,5,83.9,419.49,1
250,Basic,36,0,105.59,0.0,0
251,Standard,41,0,125.19,0.0,0
252,Premium,45,2,126.21,252.42,1
253,Basic,3,2,65.0,130.0,1
254,Basic,12,1,57.59,57.59,1
255,Basic,7,2,95.95,191.89,1
256,Standard,27,1,123.67,123.67,1
257,Standard,20,2,123.2,246.39,1
258,Basic,2,2,92.2,184.4,1
259,Basic,27,1,75.77,75.77,1
260,Standard,5,0,124.21,0.0,0
261,Basic,20,0,116.86,0.0,0
262,Standard,18,2,134.2,268.41,1
263,Basic,42,1,68.05,68.05,1
264,Basic,33,3,83.71,251.12,1
265,Premium,30,2,166.84,333.68,1
266,Basic,40,1,106.52,106.52,1
267,Basic,9,2,70.16,140.32,1
268,Basic,13,0,93.39,0.0,0
269,Basic,36,1,83.55,83.55,1
270,Basic,36,1,75.4,75.4,1
271,Basic,2,2,93.87,187.75,1
272,Basic,11,1,85.83,85.83,1
273,Basic,11,0,103.94,0.0,0
274,Standard,1,2,107.78,215.56,1
275,Standard,32,1,90.42,90.42,1
276,Basic,3,1,86.11,86.11,1
277,Basic,40,1,94.69,94.69,1
278,Standard,28,2,135.26,270.52,1
279,Premium,36,2,184.55,369.1,1
280,Premium,24,2,225.72,451.44,1
281,Basic,46,1,64.85,64.85,1
282,Basic,13,0,108.37,0.0,0
283,Basic,27,2,100.67,201.34,1
284,Basic,1,1,81.68,81.68,1
285,Standard,40,0,146.2,0.0,0
286,Basic,27,1,95.84,95.84,1
287,Basic,9,1,113.95,113.95,1
288,Basic,39,0,75.43,0.0,0
289,Standard,47,0,102.93,0.0,0
290,Basic,4,1,100.31,100.31,1
291,Standard,40,2,121.68,243.36,1
292,Basic,35,1,63.01,63.01,1
293,Premium,17,3,266.8,800.41,1
294,Basic,30,1,122.85,122.85,1
295,Standard,37,1,124.79,124.79,1
296,Premium,23,0,164.52,0.0,0
297,Premium,32,0,165.43,0.0,0
298,Standard,3,2,129.67,259.34,1
299,Standard,44,2,155.91,311.83,1
300,Standard,44,4,186.13,744.52,1
301,Standard,10,2,112.46,224.93,1
302,Basic,23,0,83.32,0.0,0
303,Standard,12,3,115.87,347.6,1
304,Standard,19,1,130.21,130.21,1
305,Premium,13,1,157.81,157.81,1
306,Basic,41,2,64.45,128.9,1
307,Basic,33,1,85.63,85.63,1
308,Standard,40,0,127.75,0.0,0
309,Basic,38,0,122.14,0.0,0
310,Basic,35,2,69.76,139.52,1
311,Basic,8,1,111.18,111.18,1
312,Basic,39,1,88.08,88.08,1
313,Basic,37,3,85.43,256.28,1
314,Basic,6,0,60.9,0.0,0
315,Basic,5,0,97.35,0.0,0
316,Basic,36,2,95.15,190.31,1
317,Basic,19,0,132.52,0.0,0
318,Standard,16,0,113.55,0.0,0
319,Basic,19,1,119.13,119.13,1
320,Premium,41,3,179.81,539.42,1
321,Premium,18,0,178.33,0.0,0
322,Basic,18,0,58.49,0.0,0
323,Basic,19,0,111.56,0.0,0
324,Standard,3,2,123.44,246.89,1
325,Standard,2,1,119.88,119.88,1
326,Standard,20,1,112.74,112.74,1
327,Standard,1,1,125.89,125.89,1
328,Standard,36,2,102.22,204.44,1
329,Standard,20,1,131.24,131.24,1
330,Basic,24,0,72.1,0.0,0
331,Standard,16,1,116.65,116.65,1
332,Basic,36,1,99.33,99.33,1
333,Standard,21,0,155.19,0.0,0
334,Premium,2,2,200.39,400.79,1
335,Basic,23,1,114.31,114.31,1
336,Standard,9,0,119.69,0.0,0
337,Basic,28,1,72.47,72.47,1
338,Standard,27,1,172.04,172.04,1
339,Basic,23,0,87.83,0.0,0
340,Premium,19,1,229.87,229.87,1
341,Basic,29,1,78.36,78.36,1
342,Premium,32,1,212.83,212.83,1
343,Standard,42,0,128.61,0.0,0
344,Standard,46,0,120.0,0.0,0
345,Standard,4,1,170.73,170.73,1
346,Standard,32,1,130.72,130.72,1
347,Premium,4,1,177.16,177.16,1
348,Basic,20,0,119.51,0.0,0
349,Standard,35,1,74.72,74.72,1
350,Basic,26,0,62.66,0.0,0
351,Standard,38,1,142.0,142.0,1
352,Basic,43,3,94.25,282.75,1
353,Standard,46,1,106.34,106.34,1
354,Standard,32,1,129.81,129.81,1
355,Basic,32,0,109.99,0.0,0
356,Standard,38,0,93.58,0.0,0
357,Standard,11,1,117.81,117.81,1
358,Standard,15,1,120.96,120.96,1
359,Basic,17,1,95.74,95.74,1
360,Standard,35,0,136.11,0.0,0
361,Premium,17,1,113.28,113.28,1
362,Basic,7,2,100.05,200.11,1
363,Basic,38,0,54.21,0.0,0
364,Basic,36,0,89.31,0.0,0
365,Standard,28,1,93.62,93.62,1
366,Basic,42,1,93.69,93.69,1
367,Standard,38,1,136.64,136.64,1
368,Standard,43,2,121.43,242.86,1
369,Basic,13,0,77.75,0.0,0
370,Premium,6,1,139.36,139.36,1
371,Standard,17,2,119.08,238.15,1
372,Basic,40,0,82.37,0.0,0
373,Basic,44,4,96.31,385.24,1
374,Basic,6,1,81.93,81.93,1
375,Basic,41,0,116.29,0.0,0
376,Basic,23,3,90.88,272.63,1
377,Premium,39,3,228.78,686.33,1
378,Basic,33,1,80.64,80.64,1
379,Basic,3,4,103.78,415.13,1
380,Standard,23,2,135.6,271.2,1
381,Standard,5,3,102.98,308.95,1
382,Premium,16,1,132.1,132.1,1
383,Standard,36,5,151.71,758.53,1
384,Basic,33,1,82.13,82.13,1
385,Basic,34,1,77.89,77.89,1
386,Premium,32,2,179.99,359.97,1
387,Standard,1,3,96.33,289.0,1
388,Premium,28,1,217.2,217.2,1
389,Basic,23,3,89.83,269.5,1
390,Premium,25,1,194.09,194.09,1
391,Standard,11,1,148.46,148.46,1
392,Basic,34,0,91.87,0.0,0
393,Standard,29,0,159.39,0.0,0
394,Standard,19,3,119.5,358.51,1
395,Basic,3,2,61.76,123.53,1
396,Basic,4,2,73.38,146.75,1
397,Standard,17,1,101.82,101.82,1
398,Basic,26,0,92.11,0.0,0
399,Basic,47,1,118.54,118.54,1
400,Basic,35,1,93.54,93.54,1
401,Basic,23,0,85.71,0.0,0
402,Premium,15,1,179.87,179.87,1
403,Standard,8,0,133.64,0.0,0
404,Basic,7,1,97.79,97.79,1
405,Premium,4,1,223.91,223.91,1
406,Premium,43,1,163.85,163.85,1
407,Basic,1,2,132.2,264.41,1
408,Standard,41,1,111.39,111.39,1
409,Basic,28,2,78.09,156.17,1
410,Premium,30,0,239.79,0.0,0
411,Standard,46,3,142.56,427.69,1
412,Standard,37,3,103.9,311.71,1
413,Basic,7,0,102.71,0.0,0
414,Premium,46,0,174.96,0.0,0
415,Basic,9,1,97.85,97.85,1
416,Basic,27,0,94.4,0.0,0
417,Basic,31,0,137.73,0.0,0
418,Standard,12,1,154.76,154.76,1
419,Basic,30,2,110.0,220.0,1
420,Premium,31,2,222.62,445.24,1
421,Standard,47,0,88.67,0.0,0
422,Basic,43,0,93.47,0.0,0
423,Basic,19,1,81.77,81.77,1
424,Basic,33,1,89.04,89.04,1
425,Standard,39,1,122.15,122.15,1
426,Standard,2,2,77.13,154.26,1
427,Basic,33,3,84.68,254.03,1
428,Standard,44,0,123.18,0.0,0
429,Basic,6,3,107.35,322.05,1
430,Standard,36,2,100.41,200.82,1
431,Premium,3,1,160.39,160.39,1
432,Standard,19,1,98.58,98.58,1
433,Standard,39,3,112.05,336.14,1
434,Standard,47,0,91.81,0.0,0
435,Basic,35,1,114.88,114.88,1
436,Basic,34,1,104.55,104.55,1
437,Basic,13,1,140.91,140.91,1
438,Standard,39,1,106.71,106.71,1
439,Standard,31,1,141.51,141.51,1
440,Standard,45,3,89.66,268.99,1
441,Premium,29,2,250.78,501.56,1
442,Basic,2,0,85.98,0.0,0
443,Standard,25,2,117.89,235.79,1
444,Basic,37,1,113.91,113.91,1
445,Basic,38,0,112.77,0.0,0
446,Standard,19,3,95.5,286.5,1
447,Premium,9,0,187.76,0.0,0
448,Standard,41,0,155.62,0.0,0
449,Basic,39,1,83.1,83.1,1
450,Standard,42,3,127.65,382.95,1
451,Basic,32,0,100.09,0.0,0
452,Premium,39,1,248.36,248.36,1
453,Standard,19,0,136.69,0.0,0
454,Basic,37,1,85.43,85.43,1
455,Basic,23,0,53.19,0.0,0
456,Basic,38,2,103.19,206.38,1
457,Premium,7,1,198.89,198.89,1
458,Basic,14,2,123.3,246.6,1
459,Standard,11,1,134.39,134.39,1
460,Standard,20,0,105.83,0.0,0
461,Standard,39,1,88.84,88.84,1
462,Basic,6,0,86.77,0.0,0
463,Premium,35,1,206.51,206.51,1
464,Basic,40,1,91.96,91.96,1
465,Standard,32,4,88.45,353.79,1
466,Standard,31,4,50.33,201.32,1
467,Standard,7,2,96.08,192.15,1
468,Premium,29,0,94.43,0.0,0
469,Basic,11,0,71.6,0.0,0
470,Standard,12,1,126.04,126.04,1
471,Basic,41,0,117.11,0.0,0
472,Basic,29,1,44.11,44.11,1
473,Basic,47,0,70.78,0.0,0
474,Basic,22,2,97.41,194.82,1
475,Basic,17,1,81.55,81.55,1
476,Basic,47,3,93.05,279.15,1
477,Basic,30,5,97.07,485.36,1
478,Standard,41,0,109.7,0.0,0
479,Standard,3,0,150.12,0.0,0
480,Basic,25,0,135.54,0.0,0
481,Basic,39,0,69.99,0.0,0
482,Basic,38,0,107.38,0.0,0
483,Standard,34,2,172.7,345.39,1
484,Basic,8,2,117.13,234.27,1
485,Basic,26,0,77.08,0.0,0
486,Basic,5,2,83.85,167.69,1
487,Basic,38,0,57.51,0.0,0
488,Basic,30,2,79.31,158.63,1
489,Standard,10,2,106.51,213.02,1
490,Standard,35,1,131.44,131.44,1
491,Standard,34,2,91.59,183.19,1
492,Standard,3,1,121.8,121.8,1
493,Standard,5,0,125.21,0.0,0
494,Basic,10,0,81.27,0.0,0
495,Standard,4,2,140.96,281.92,1
496,Standard,26,2,108.7,217.4,1
497,Basic,42,0,96.1,0.0,0
498,Standard,3,1,87.52,87.52,1
499,Basic,29,0,75.4,0.0,0
500,Standard,20,2,144.01,288.02,1
501,Standard,40,1,78.22,78.22,1
502,Premium,23,2,222.11,444.21,1
503,Premium,32,1,178.9,178.9,1
504,Standard,44,1,69.2,69.2,1
505,Standard,7,1,108.88,108.88,1
506,Standard,15,2,138.35,276.71,1
507,Basic,13,3,133.25,399.76,1
508,Standard,8,1,166.64,166.64,1
509,Basic,31,2,72.55,145.11,1
510,Basic,1,0,104.98,0.0,0
511,Basic,19,0,81.6,0.0,0
512,Standard,6,3,104.71,314.14,1
513,Basic,29,0,108.86,0.0,0
514,Basic,36,0,94.26,0.0,0
515,Basic,22,1,94.33,94.33,1
516,Basic,21,3,58.55,175.65,1
517,Basic,22,1,71.88,71.88,1
518,Standard,10,1,97.48,97.48,1
519,Basic,18,0,99.61,0.0,0
520,Standard,44,1,138.3,138.3,1
521,Premium,2,0,261.42,0.0,0
522,Basic,38,1,72.35,72.35,1
523,Basic,8,0,122.98,0.0,0
524,Standard,6,1,113.49,113.49,1
525,Basic,14,1,91.48,91.48,1
526,Basic,13,0,87.81,0.0,0
527,Premium,15,2,202.14,404.27,1
528,Premium,40,0,219.89,0.0,0
529,Standard,43,0,145.94,0.0,0
530,Basic,33,1,85.42,85.42,1
531,Standard,7,1,122.22,122.22,1
532,Standard,45,0,97.22,0.0,0
533,Basic,40,0,102.71,0.0,0
534,Standard,4,0,126.65,0.0,0
535,Basic,19,1,75.43,75.43,1
536,Basic,37,1,66.69,66.69,1
537,Standard,5,1,124.02,124.02,1
538,Basic,4,0,114.5,0.0,0
539,Basic,29,0,119.74,0.0,0
540,Standard,16,0,87.66,0.0,0
541,Premium,21,0,229.38,0.0,0
542,Standard,36,1,139.94,139.94,1
543,Standard,26,1,154.62,154.62,1
544,Premium,34,1,211.02,211.02,1
545,Basic,6,1,83.73,83.73,1
546,Basic,1,1,104.74,104.74,1
547,Basic,12,0,41.68,0.0,0
548,Basic,10,1,71.41,71.41,1
549,Standard,16,0,98.26,0.0,0
550,Basic,37,2,77.39,154.77,1
551,Basic,8,0,61.5,0.0,0
552,Basic,6,0,79.42,0.0,0
553,Basic,10,0,79.62,0.0,0
554,Premium,16,1,181.46,181.46,1
555,Basic,10,3,95.32,285.97,1
556,Basic,9,2,66.54,133.08,1
557,Basic,28,3,81.51,244.53,1
558,Basic,6,2,88.28,176.57,1
559,Standard,8,1,73.65,73.65,1
560,Basic,40,2,88.62,177.24,1
561,Basic,1,2,94.48,188.95,1
562,Basic,3,1,104.21,104.21,1
563,Standard,4,1,87.0,87.0,1
564,Standard,26,2,116.21,232.42,1
565,Standard,33,0,150.99,0.0,0
566,Standard,33,0,76.6,0.0,0
567,Standard,33,0,119.83,0.0,0
568,Basic,3,0,61.45,0.0,0
569,Basic,17,0,81.95,0.0,0
570,Standard,30,3,99.88,299.63,1
571,Basic,33,2,97.02,194.04,1
572,Standard,16,3,112.62,337.86,1
573,Basic,40,2,66.06,132.13,1
574,Standard,40,0,158.08,0.0,0
575,Premium,36,1,199.12,199.12,1
576,Standard,38,0,144.67,0.0,0
577,Premium,46,0,148.19,0.0,0
578,Standard,38,5,110.17,550.85,1
579,Premium,28,1,231.96,231.96,1
580,Basic,19,0,75.94,0.0,0
581,Basic,18,1,89.9,89.9,1
582,Standard,39,1,118.36,118.36,1
583,Basic,14,0,45.69,0.0,0
584,Basic,30,1,88.71,88.71,1
585,Premium,24,2,175.25,350.49,1
586,Standard,18,1,115.85,115.85,1
587,Basic,22,0,76.51,0.0,0
588,Basic,4,1,65.83,65.83,1
589,Basic,34,2,74.75,149.49,1
590,Basic,4,2,80.12,160.25,1
591,Premium,4,1,216.28,216.28,1
592,Basic,12,1,79.5,79.5,1
593,Basic,25,0,92.06,0.0,0
594,Standard,15,2,125.03,250.06,1
595,Basic,42,1,79.86,79.86,1
596,Basic,44,1,108.21,108.21,1
597,Standard,19,2,110.62,221.25,1
598,Standard,47,1,105.97,105.97,1
599,Premium,5,3,236.19,708.58,1
600,Standard,7,3,123.42,370.27,1
601,Basic,17,2,45.15,90.31,1
602,Standard,45,0,53.53,0.0,0
603,Premium,24,3,255.74,767.21,1
604,Standard,34,1,122.07,122.07,1
605,Premium,31,1,185.04,185.04,1
606,Standard,24,0,64.54,0.0,0
607,Premium,44,1,186.15,186.15,1
608,Basic,45,0,70.22,0.0,0
609,Standard,22,0,112.11,0.0,0
610,Basic,34,0,76.34,0.0,0
611,Standard,30,0,112.76,0.0,0
612,Standard,28,2,124.84,249.68,1
613,Premium,5,1,206.91,206.91,1
614,Premium,10,0,189.39,0.0,0
615,Basic,47,3,92.0,276.0,1
616,Standard,12,1,75.39,75.39,1
617,Standard,31,0,117.9,0.0,0
618,Basic,43,1,93.88,93.88,1
619,Basic,29,1,88.51,88.51,1
620,Basic,11,2,117.86,235.72,1
621,Standard,41,1,113.39,113.39,1
622,Basic,2,4,65.17,260.67,1
623,Premium,34,2,191.98,383.96,1
624,Basic,13,2,79.23,158.47,1
625,Premium,31,0,123.0,0.0,0
626,Basic,23,0,84.29,0.0,0
627,Standard,27,2,156.9,313.79,1
628,Basic,18,1,83.08,83.08,1
629,Standard,25,0,147.08,0.0,0
630,Standard,44,0,137.94,0.0,0
631,Premium,39,0,286.68,0.0,0
632,Standard,20,3,131.35,394.04,1
633,Basic,45,2,91.43,182.87,1
634,Basic,42,2,91.68,183.35,1
635,Basic,30,1,95.22,95.22,1
636,Basic,28,0,85.13,0.0,0
637,Standard,2,0,107.29,0.0,0
638,Standard,25,0,131.53,0.0,0
639,Standard,10,1,104.18,104.18,1
640,Premium,8,3,117.32,351.97,1
641,Standard,41,0,87.24,0.0,0
642,Standard,13,1,161.17,161.17,1
643,Basic,29,1,84.02,84.02,1
644,Basic,41,1,104.41,104.41,1
645,Standard,29,0,102.55,0.0,0
646,Premium,37,3,227.57,682.71,1
647,Basic,37,1,97.54,97.54,1
648,Standard,22,1,169.78,169.78,1
649,Standard,44,1,152.92,152.92,1
650,Basic,43,3,103.79,311.38,1
651,Basic,16,2,78.96,157.92,1
652,Premium,39,1,144.97,144.97,1
653,Standard,9,1,116.49,116.49,1
654,Basic,6,1,90.36,90.36,1
655,Premium,25,1,175.64,175.64,1
656,Basic,29,1,103.22,103.22,1
657,Premium,28,1,195.1,195.1,1
658,Basic,38,1,89.95,89.95,1
659,Standard,19,1,158.1,158.1,1
660,Basic,38,1,91.96,91.96,1
661,Basic,43,1,64.59,64.59,1
662,Premium,5,1,232.96,232.96,1
663,Basic,22,1,93.93,93.93,1
664,Basic,11,2,84.89,169.78,1
665,Basic,31,0,72.08,0.0,0
666,Standard,20,0,151.53,0.0,0
667,Standard,14,3,162.26,486.77,1
668,Premium,12,0,165.1,0.0,0
669,Basic,17,3,95.58,286.74,1
670,Basic,6,0,98.23,0.0,0
671,Basic,5,2,57.31,114.62,1
672,Standard,30,1,118.91,118.91,1
673,Premium,45,1,122.35,122.35,1
674,Standard,24,4,119.54,478.17,1
675,Standard,44,0,176.58,0.0,0
676,Basic,8,0,62.83,0.0,0
677,Premium,46,1,267.05,267.05,1
678,Basic,28,0,123.31,0.0,0
679,Basic,35,1,89.9,89.9,1
680,Basic,3,2,99.66,199.32,1
681,Basic,29,5,84.69,423.43,1
682,Basic,19,1,81.62,81.62,1
683,Basic,43,0,93.81,0.0,0
684,Basic,38,1,75.47,75.47,1
685,Standard,41,2,131.83,263.66,1
686,Basic,42,3,90.78,272.33,1
687,Basic,34,1,69.99,69.99,1
688,Premium,12,1,220.38,220.38,1
689,Standard,14,0,138.39,0.0,0
690,Standard,41,0,148.08,0.0,0
691,Basic,29,4,81.01,324.02,1
692,Premium,42,3,233.16,699.47,1
693,Basic,38,1,130.63,130.63,1
694,Basic,29,5,90.56,452.78,1
695,Premium,8,2,196.75,393.49,1
696,Standard,47,1,136.97,136.97,1
